epoch,num_samples,policy_loss,value_loss,entropy_mean,entropy_std,approx_kl,clip_frac,top1_prob_mean,top5_prob_mean,top20_prob_mean,top50_prob_mean,grad_norm_mean,lr,power0_ratio,power1_ratio,power2_ratio,stone0_ratio,stone1_ratio,stone2_ratio
109,1561,-0.008923,0.315111,3.015445,0.068208,0.010929,0.152558,0.227163,0.536967,0.873873,0.985544,2.964063,0.00010000,0.971172,0.023062,0.005766,0.431775,0.301730,0.266496
110,1513,-0.007010,0.351373,3.071671,0.050706,0.011524,0.182191,0.213931,0.518844,0.866297,0.983103,2.847351,0.00010000,0.972241,0.020489,0.007270,0.451421,0.274950,0.273629
111,1532,-0.011607,0.371461,2.952898,0.056331,0.010338,0.161950,0.250268,0.555553,0.877548,0.985867,2.782635,0.00010000,0.977154,0.016319,0.006527,0.434073,0.303525,0.262402
112,1621,-0.009852,0.299625,2.994789,0.058700,0.012648,0.199243,0.234732,0.544099,0.876495,0.984756,2.933699,0.00010000,0.980259,0.012955,0.006786,0.441086,0.291178,0.267736
113,1768,-0.006860,0.344499,3.071007,0.064149,0.010553,0.172805,0.214489,0.512907,0.873751,0.983981,2.844093,0.00010000,0.976810,0.019796,0.003394,0.412896,0.334276,0.252828
114,1525,-0.006146,0.372577,2.984489,0.059425,0.010695,0.157024,0.240018,0.544930,0.879446,0.985514,3.014234,0.00010000,0.974426,0.018361,0.007213,0.426230,0.318033,0.255738
115,1835,-0.007411,0.300461,3.051809,0.069034,0.013382,0.213901,0.237338,0.528071,0.864117,0.984241,2.861776,0.00010000,0.979837,0.014714,0.005450,0.426703,0.306812,0.266485
116,1691,-0.009742,0.293599,3.045461,0.052081,0.015006,0.231539,0.231289,0.527445,0.867946,0.985389,2.789636,0.00010000,0.976937,0.015376,0.007688,0.421053,0.340627,0.238321
117,1849,-0.012589,0.334811,3.118308,0.041105,0.011505,0.179736,0.219812,0.511658,0.850652,0.982352,2.747166,0.00010000,0.981071,0.012980,0.005949,0.382910,0.340184,0.276906
118,1764,-0.009599,0.313085,3.062250,0.067436,0.012657,0.211702,0.235601,0.520095,0.860879,0.985366,2.801912,0.00010000,0.978458,0.013039,0.008503,0.400227,0.309524,0.290249
119,1860,0.006978,0.320548,2.981700,0.067491,0.012765,0.206076,0.256823,0.537247,0.871913,0.986613,3.190273,0.00010000,0.976344,0.017204,0.006452,0.420968,0.306452,0.272581
120,1848,-0.009649,0.334353,3.020547,0.050775,0.011943,0.185550,0.233802,0.534024,0.871455,0.986381,2.949703,0.00010000,0.977273,0.017316,0.005411,0.423160,0.307359,0.269481
121,1738,-0.018264,0.343301,2.967644,0.073161,0.011110,0.179762,0.248409,0.548017,0.875546,0.987335,2.947599,0.00010000,0.985040,0.010357,0.004603,0.431531,0.306674,0.261795
122,1545,-0.014881,0.298795,2.885601,0.094932,0.011945,0.181181,0.265659,0.567615,0.887361,0.989772,3.040133,0.00010000,0.980582,0.009709,0.009709,0.444660,0.286084,0.269256
123,1689,-0.008183,0.332700,2.883022,0.070440,0.013450,0.200471,0.276779,0.571928,0.884433,0.990934,3.079742,0.00010000,0.981646,0.012433,0.005921,0.457667,0.279455,0.262877
124,2016,-0.011105,0.264321,2.791884,0.073444,0.012661,0.201009,0.301664,0.594828,0.893297,0.993051,2.930088,0.00010000,0.986111,0.010913,0.002976,0.465774,0.259425,0.274802
125,1981,-0.004536,0.262340,2.868006,0.059882,0.012370,0.195994,0.284440,0.575165,0.881984,0.990920,2.975331,0.00010000,0.992428,0.007572,0.000000,0.447249,0.290257,0.262494
126,2077,-0.001721,0.293389,2.959282,0.067027,0.011074,0.175995,0.254736,0.552720,0.872482,0.988779,2.829034,0.00010000,0.982186,0.013481,0.004333,0.422725,0.281656,0.295619
127,2048,-0.010034,0.300688,2.907417,0.058481,0.012342,0.198405,0.254673,0.566094,0.887076,0.990608,2.768297,0.00010000,0.983887,0.012207,0.003906,0.433594,0.271484,0.294922
128,2135,-0.004986,0.194453,2.890687,0.088746,0.011114,0.169071,0.269498,0.577665,0.882859,0.989515,3.010887,0.00010000,0.989696,0.007026,0.003279,0.409368,0.312881,0.277752
129,1954,-0.007684,0.240798,2.918214,0.051101,0.014513,0.215884,0.257910,0.569880,0.881460,0.989399,2.890274,0.00010000,0.982600,0.014330,0.003071,0.431423,0.290686,0.277891
130,2269,-0.008065,0.275686,2.949582,0.071167,0.013764,0.202127,0.260433,0.552698,0.869726,0.989414,2.895133,0.00010000,0.982812,0.013222,0.003967,0.401058,0.326135,0.272807
